"Die Arche des Captain Blood","https://www.kultboy.com/testbericht-uebersicht/755/",71,,,,,71,,,,,,,,,,71.00,
"Might and Magic Book One: The Secret of the Inner Sanctum","https://www.kultboy.com/testbericht-uebersicht/230/",93,,,54,83,61,,,,,,,,60,,70.20,70.20
"The Bard's Tale III: Thief of Fate","https://www.kultboy.com/testbericht-uebersicht/759/",84,,,84,75,90,,,,,,,,,92,83.25,83.25
"Pool of Radiance","https://www.kultboy.com/testbericht-uebersicht/617/",64,,,62,83,,,,,,,,,82,88,72.75,72.75
"Katakis (C64)","https://www.kultboy.com/testbericht-uebersicht/603/",75,,,,75,,,,,,,,,75,87,75.00,75.00
"Bozuma","https://www.kultboy.com/testbericht-uebersicht/3356/",70,,,,,,,,,,,,,70,,70.00,
"Mini-Putt","https://www.kultboy.com/testbericht-uebersicht/2284/",68,,,,83,,,,,,,,,75,88,75.33,75.33
"Little Computer People","https://www.kultboy.com/testbericht-uebersicht/262/",93,,,,100,,,,,,,,,,80,96.50,
"Street Sports Basketball","https://www.kultboy.com/testbericht-uebersicht/1492/",75,,,,,76,,,,,,,,23,81,58.00,58.00
"Spindizzy","https://www.kultboy.com/testbericht-uebersicht/1423/",90,,,,100,90,,,,,,,,,77,93.33,93.33
"Tau Ceti","https://www.kultboy.com/testbericht-uebersicht/1567/",87,,,,100,87,,,,,,,,,79,91.33,91.33
"Koronis Rift","https://www.kultboy.com/testbericht-uebersicht/1007/",91,,,,100,91,,,,,,,,,88,94.00,94.00
"Paradroid","https://www.kultboy.com/testbericht-uebersicht/1182/",85,,,,83,93,,,,,,,,85,87,86.50,86.50
"Thunder Blade","https://www.kultboy.com/testbericht-uebersicht/202/",68,,,,50,,,,,,,,,61,65,59.67,59.67
"World Tour Golf","https://www.kultboy.com/testbericht-uebersicht/3145/",90,,,,,90,,,,,,,,,,90.00,
"Gunship","https://www.kultboy.com/testbericht-uebersicht/1627/",85,,,,91,88,,,,,,,,85,85,87.25,87.25
"Ballblazer","https://www.kultboy.com/testbericht-uebersicht/276/",71,,,,100,,,71,,,,,,,74,80.67,80.67
"Bubble Bobble","https://www.kultboy.com/testbericht-uebersicht/283/",67,,,85,58,80,,,,,,,,67,87,71.40,71.40
"Solomon's Key","https://www.kultboy.com/testbericht-uebersicht/592/",64,,,,50,83,,,,,,,,64,76,65.25,65.25
"Gauntlet","https://www.kultboy.com/testbericht-uebersicht/334/",66,,,,50,84,,,,,,,,63,77,65.75,65.75
"Chuck Yeager's Advanced Flight Trainer","https://www.kultboy.com/testbericht-uebersicht/2858/",78,,,,83,85,,,,,,,,78,,81.00,81.00
"IK+","https://www.kultboy.com/testbericht-uebersicht/112/",70,,,70,75,78,,,,,,,,70,86,72.60,72.60
"Rally Speedway","https://www.kultboy.com/testbericht-uebersicht/2845/",86,,,,,,,,,,,,,,79,86.00,
"Gribbly's Day Out","https://www.kultboy.com/testbericht-uebersicht/2166/",80,,,,66,,,,,,,,,,,73.00,
"Mercenary: Flucht aus Targ","https://www.kultboy.com/testbericht-uebersicht/1673/",77,,,77,,88,,,,,,,,,78,80.67,80.67
"Winter Games","https://www.kultboy.com/testbericht-uebersicht/789/",74,,,74,90,,,,,,,,,75,88,78.25,78.25
"Hacker","https://www.kultboy.com/testbericht-uebersicht/873/",80,,,,,,,,,,,,,,,80.00,
"International Karate","https://www.kultboy.com/testbericht-uebersicht/1646/",84,,,,16,84,,,,,,,,36,84,55.00,55.00
"Das Drachental","https://www.kultboy.com/testbericht-uebersicht/5468/",80,,,,,,,,,,,,,,,80.00,
"The Master of Magic","https://www.kultboy.com/testbericht-uebersicht/1319/",73,,,,100,,,,,,,,,,87,86.50,
"Zone Ranger","https://www.kultboy.com/testbericht-uebersicht/3226/",73,,,,,,,,,,,,,,,73.00,
"Park Patrol","https://www.kultboy.com/testbericht-uebersicht/3133/",71,,,,,71,,,,,,,,,67,71.00,
"The Eidolon","https://www.kultboy.com/testbericht-uebersicht/1578/",73,,,,90,,,,,,,,,,79,81.50,
